ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
17,2,6628,88.0,231.0,1.0,1.1541180398112285,0.7595640329877251,1.0,0.649294670846395,0.5977994322243638,116.81460635385517,120.74767078498864,35.11409973215888,12.90023278865614,11.313708498984761,76.56971985616269,75.98002028477137,-13.53006499154696,373.26599999999905,0.9110652920962199,81.40555220277611,227.03515389257694,0,2
17,3,7376,519.0,301.0,1.0,1.0184209440603884,0.39272535691368854,1.0,0.7683333333333333,0.7880319593675064,101.64616877612731,102.59142264341595,40.01249804748511,14.860036508487259,13.341664064126334,94.54759544736211,93.4794888596678,-76.28463453383456,342.9599999999989,0.9492921492921491,512.1569956616052,305.51965835141,0,3
17,4,8780,1012.0,566.0,1.0,1.9398536824473693,0.8969768961750006,1.0,0.38913265079998227,0.21922257790759203,190.1139766309205,212.96009015775704,31.78049716414141,9.975907424977487,8.0,101.43291682147434,84.04509682269227,-78.7747648240478,709.4299999999976,0.6717417084273746,1018.5533029612757,598.1815489749431,0,4
17,5,8768,855.0,623.0,1.0,1.2548332750168878,0.7862834109924084,1.0,0.507113938692886,0.4718798016896217,142.15107544750055,162.2004932174992,37.013511046643494,13.115154176353922,11.40175425099138,89.8,87.83031680141534,-45.31718095060069,483.21399999999824,0.8347693625934213,854.7068886861314,622.8050866788321,0,5
17,6,9156,339.0,739.0,1.0,1.2577675091178047,0.8048115349777968,1.0,0.5422885572139303,0.2954470491358789,147.0055829911565,154.01298646542764,34.20526275297414,11.440569760145674,10.0,89.78352701707344,87.25228958865475,40.478281847588775,624.0479999999977,0.8369287020109689,337.7545871559633,749.6744211446046,0,6
18,1,9324,799.0,139.0,1.0,1.195969389377843,0.825529851325038,1.0,0.5388660925851009,0.5714928511721534,146.5002071815878,154.0519392932137,39.6232255123179,15.119128954908035,13.45362404707371,85.99955720668643,82.67863043178555,-51.95509592533374,452.7939999999985,0.8949894413515072,807.5344272844272,125.55759330759331,0,1
18,2,7040,514.0,173.0,1.0,1.2195039486521873,0.7296811115569436,1.0,0.497456189937818,0.46693998098507705,121.85708405549282,141.50971698084905,36.0,12.409529291189388,11.0,101.80252840836526,83.32436247219741,28.750623120378012,435.2719999999988,0.801548445861323,517.3167613636364,173.6362215909091,0,2
18,3,12366,882.0,266.0,1.0,1.222481789972738,0.6388941101471937,1.0,0.5184470903907429,0.41492297797400274,155.22729976103707,177.1016657177453,42.2965719651132,14.753069035489025,13.038404810405298,131.27741994727455,119.41553704131137,84.06710482803635,611.9779999999977,0.8287370572663606,870.2041889050623,263.97945980915415,0,3
18,4,7074,1127.0,277.0,1.0,1.290836895726531,0.8381887876566351,1.0,0.6352370689655172,0.5662020560935477,133.65199272727784,137.35355838128112,34.713109915419565,12.534562462747694,11.180339887498949,75.18989673086601,72.89114975140157,-11.329543361210062,396.23399999999896,0.8846923461730868,1114.2787673169353,273.20582414475547,0,4
18,5,10485,933.0,519.0,1.0,1.1140683804913758,0.6372224208864506,1.0,0.6549850074962519,0.5988496455716731,136.37108620605648,144.20124826089406,43.266615305567875,15.583878136687378,14.0,110.20638604677667,105.0984619861075,84.01041523385915,469.06199999999865,0.863744954279595,927.7700524558894,513.432904148784,0,5
18,6,7274,718.0,880.0,1.0,1.2932137135652428,0.8518213150487383,1.0,0.5977975016436555,0.6483638545712248,136.87129390898514,131.46862743635836,35.22782990761707,12.66063268914033,11.661903789690601,75.91698853478952,71.69762673269,-40.10034441703473,375.4759999999989,0.91358955036423,701.023233434149,896.5174594445972,0,6
19,1,2901,487.0,637.0,1.0,1.0085304534516701,0.42887041614171995,1.0,0.7430840163934426,0.8586424491280499,63.98988026300811,65.0,27.892651361962706,10.046603148186732,8.94427190999916,57.64805844548398,57.80628345587105,58.869305649897974,206.04999999999964,0.9657123834886817,487.0854877628404,635.9762150982419,0,1
19,2,9244,333.0,757.0,1.0,1.1177350680515843,0.7093699979211795,1.0,0.6663783160322952,0.5912782561598758,132.35992065516925,135.18135966175217,40.19950248448356,15.02112419316941,13.416407864998739,90.59219224859558,93.29207639093197,-79.90106252286688,443.2399999999987,0.9067189798921039,338.0907615750757,762.2031588057118,0,2
19,3,4449,363.0,899.0,1.0,1.0467337382635657,0.6223154800430066,1.0,0.7222402597402597,0.8134784256423431,85.64168318232448,86.45229898620394,31.827660925679098,11.90279687168417,10.63014581273465,66.65282711976533,67.03744332174,-37.698095142199506,262.15799999999945,0.9483107748054993,361.08631153068103,896.1968981793661,0,3
22,1,2243,175.0,257.0,1.0,2.245921463838524,0.8825791643078478,1.0,0.34872512437810943,0.1293954096605836,102.35592698691936,114.85643212288984,13.892443989449804,4.086694255495948,3.1622776601683795,54.09509414276181,48.12405375074955,-27.037049167435296,466.7239999999985,0.497891231964484,167.4703522068658,251.79224253232277,0,1
22,2,9559,791.0,315.0,1.0,1.0686142395235243,0.44818958741558224,1.0,0.5121075752705454,0.3227708532594174,120.04133884867669,152.3975065412817,45.27692569068709,15.09123187329107,13.0,119.5973411075681,107.30957787639595,-69.8123438444366,610.047999999998,0.7659148271303232,788.3367507061408,312.8034313212679,0,2
22,3,14805,411.0,300.0,1.0,1.1650741295030143,0.7696757262009563,1.0,0.7092215568862276,0.6887676343927565,176.31809374019,170.30854353202602,49.92995093127971,19.237214691963036,17.46424919657298,114.05181824292117,112.5676459429085,9.723327533254263,519.7239999999986,0.9151033779398583,417.7936507936508,291.53150962512666,0,3
22,4,7191,964.0,316.0,1.0,1.2278146954367468,0.8489995386461103,1.0,0.761516467224399,0.7158361508109901,132.35715279151506,133.98880550254935,34.0,13.54454737395654,12.36931687685298,69.7755604455445,69.93667080325729,83.12262086986435,355.2979999999993,0.9627150411674141,963.0090390766236,317.5794743429287,0,4
22,5,3480,1183.0,347.0,1.0,1.11516158024383,0.7719427951149544,1.0,0.7357293868921776,0.7558509459733649,83.79454277180288,85.21150157109074,26.40075756488817,10.085976030299918,9.055385138137417,53.08686640418122,53.267520629093596,-89.0660038635688,240.53399999999962,0.9540781357093903,1182.232183908046,340.423275862069,0,5
22,6,3350,1113.0,373.0,1.0,1.4588185322457639,0.8817906396069413,1.0,0.5203479341410376,0.30620860124780624,100.75914531909574,98.40731680114035,20.223748416156685,7.020711032125472,6.082762530298219,50.20036775838323,47.522147798258914,58.33449115784297,370.78199999999913,0.8535031847133759,1109.7811940298507,358.6588059701493,0,6
23,1,25907,694.0,183.0,1.0,1.0048485737186956,0.30606191974203434,1.0,0.7452678211840515,0.7594279690475406,186.11025101245366,190.9476368012969,80.02499609497022,28.62075332315958,25.298221281347036,178.21522724306652,177.17911928444573,-89.02468841368916,654.7419999999973,0.9799152734700057,700.2834755085498,178.71081174972016,0,1
23,2,3824,142.0,302.0,1.0,1.1063571654475495,0.7572184659646365,1.0,0.7282422395734146,0.7734327651300091,86.79337448706833,88.2779700718135,27.294688127912362,10.444128397037192,9.433981132056603,57.342906273369074,56.690107261667464,-89.28046463230365,249.25999999999954,0.9465346534653465,141.5857740585774,295.0154288702929,0,2
