Filename,ImageID,ObjectID,X,Y,Area,Perimeter,Major Axis,Minor Axis,Circularity,Aspect Ratio,Shape mode,Distance from cluster center,Probability of shape mode 1,Probability of shape mode 2,Probability of shape mode 3,Probability of shape mode 4,Probability of shape mode 5
xy004c1.tiff,4,6,1006,938,2385,264.45079348883235,91.7239875617779,40.172938380913926,0.4285569065091832,2.283228244149444,3.0,2.93,0.1834,0.1899,0.2526,0.176,0.198
xy005c1.tiff,5,1,252,265,7409,336.49242404917493,107.2788919580874,88.86027199703292,0.8222783907893023,1.2072762050702417,1.0,1.34,0.1849,0.1787,0.1745,0.2767,0.1852
xy005c1.tiff,5,2,55,418,6110,499.0437226013957,107.77041831965948,83.70878406534972,0.3083002523471874,1.287444555824934,5.0,6.09,0.2108,0.1891,0.1922,0.1876,0.2204
xy005c1.tiff,5,3,1141,428,4477,507.564537881567,115.30490920340294,72.3908510548162,0.2183807812484,1.5928105212645056,3.0,6.95,0.1942,0.2029,0.234,0.1832,0.1857
xy005c1.tiff,5,4,381,447,7093,649.4528855298854,196.97413104965648,59.50408355466921,0.21132190761497552,3.3102624102879776,5.0,4.64,0.2123,0.194,0.2027,0.1705,0.2205
xy006c1.tiff,6,1,103,384,4777,470.2091988222396,115.92212492475704,71.15121237240301,0.2715081453566703,1.6292361164279898,3.0,6.09,0.1974,0.1847,0.2339,0.1931,0.1909
xy006c1.tiff,6,2,1159,589,2234,177.095454429505,59.85039472946519,47.68314920271619,0.8951137006499764,1.25516866503557,1.0,1.31,0.1718,0.1859,0.1793,0.2747,0.1882
xy007c1.tiff,7,1,844,242,5900,424.3391411371508,110.67324046055548,72.33011469829556,0.4117519736935487,1.5301128848225571,3.0,2.66,0.1934,0.2046,0.2286,0.1831,0.1903
xy007c1.tiff,7,2,868,447,14545,565.4995667241112,152.0666441250104,126.6273944538624,0.5715563268997997,1.2008984689360958,1.0,2.77,0.2254,0.1774,0.1651,0.2275,0.2046
xy007c1.tiff,7,3,118,544,2370,182.16652224137044,61.718860481817494,49.0779827908039,0.8974723461722462,1.2575671812938125,1.0,1.5,0.1696,0.1865,0.1818,0.2716,0.1905
xy007c1.tiff,7,4,372,630,8035,491.4518395093589,119.60269030884851,92.63005537706808,0.4180553784430089,1.2911866437084942,5.0,3.43,0.2004,0.1885,0.2018,0.1881,0.2211
xy007c1.tiff,7,5,915,661,9245,655.796031280393,152.8778977253046,86.87351293292136,0.2701339762964877,1.7597757079692171,2.0,5.24,0.2257,0.177,0.2006,0.1873,0.2093
xy007c1.tiff,7,6,1202,639,5694,460.57568516986015,135.09957496214741,62.19511240479227,0.33730696824358825,2.1721895779022287,2.0,3.77,0.2338,0.1957,0.1843,0.1786,0.2077
xy008c1.tiff,8,1,304,496,4756,258.10764773832483,78.90430264223932,76.8176945405683,0.8971188131039011,1.0271631180049157,1.0,1.89,0.1801,0.1638,0.1618,0.3062,0.1881
xy008c1.tiff,8,2,161,593,5670,461.61121907579286,137.75017087483369,60.40768832973257,0.3343799373214191,2.2803417029125623,2.0,3.43,0.2391,0.1908,0.1923,0.1689,0.2089
xy008c1.tiff,8,3,342,738,7538,562.9432175380074,120.26639460858705,92.165780490991,0.2989075019697353,1.3048920539477535,5.0,4.58,0.2006,0.1799,0.2022,0.2013,0.2161
xy009c1.tiff,9,1,1131,768,2791,197.8233764908628,61.78345560041456,57.5877375245524,0.8962196877601302,1.0728578384256429,1.0,1.74,0.1883,0.1714,0.164,0.2947,0.1816
xy010c1.tiff,10,1,1208,403,4290,371.9360748630709,120.45197458476584,48.41099097249256,0.3897001286194877,2.4881121448889045,3.0,3.52,0.2065,0.1945,0.2282,0.1603,0.2106
xy010c1.tiff,10,2,846,643,4140,274.048773235279,88.8923376831499,62.20912556741185,0.6927148222977809,1.4289276190970288,4.0,1.9,0.1747,0.2423,0.1836,0.2067,0.1927
xy010c1.tiff,10,3,92,723,2187,175.3380951166243,54.60248496265476,51.07402749109247,0.8939352831197912,1.0690851621634434,1.0,1.65,0.1764,0.1835,0.1551,0.3019,0.1831
xy011c1.tiff,11,1,1215,191,2228,285.04877323527904,78.28612361446015,39.228420834770844,0.3445773272145547,1.9956481027926007,4.0,3.8,0.1721,0.2319,0.2098,0.1898,0.1964
